l,eta,error_type,CD_type,noise_model,pth,stderr
5,50.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0069363477737118,4.71407158646269e-06
6,50.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0159563677154182,7.797440827486184e-05
6,50.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0060468741431738,5.020551904595764e-06
6,50.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0062104527742689,4.8895771792610175e-06
2,75.0,X_MEM,SC,circuit_level,0.0074647419865875005,6.639952098258167e-06
2,75.0,Z_MEM,SC,circuit_level,0.012349273844139289,1.7256161836407487e-05
2,75.0,TOTAL_MEM,SC,circuit_level,0.007489535769503185,5.605338620143613e-06
3,75.0,X_MEM,SC,circuit_level,0.009922894494200809,8.157352475346484e-06
3,75.0,Z_MEM,SC,circuit_level,0.009148004773476638,1.5325419312887973e-05
3,75.0,TOTAL_MEM,SC,circuit_level,0.009720161036316753,5.470155252724657e-06
4,75.0,X_MEM,SC,circuit_level,0.01152956440061646,1.7738285430208588e-05
4,75.0,Z_MEM,SC,circuit_level,0.007576930879943446,2.6562118059104875e-05
4,75.0,TOTAL_MEM,SC,circuit_level,0.008910681768638443,2.1751907359844702e-05
5,75.0,X_MEM,SC,circuit_level,0.01264634528720277,2.0835402711007292e-05
5,75.0,Z_MEM,SC,circuit_level,0.0065245230329872075,2.8057930235088868e-05
5,75.0,TOTAL_MEM,SC,circuit_level,0.007268157168148892,3.159738171751404e-05
6,75.0,X_MEM,SC,circuit_level,0.013621741508572238,2.2169821893161907e-05
6,75.0,Z_MEM,SC,circuit_level,0.005745264594866103,3.6535406582028524e-05
6,75.0,TOTAL_MEM,SC,circuit_level,0.006167164144376889,3.148503880501726e-05
2,100.0,X_MEM,SC,circuit_level,0.0074648514092351724,6.548143900503884e-06
2,100.0,Z_MEM,SC,circuit_level,0.012411252118690866,2.536374452474474e-05
2,100.0,TOTAL_MEM,SC,circuit_level,0.007488592204565406,5.59629589679543e-06
3,100.0,X_MEM,SC,circuit_level,0.009946677832705206,8.13709470760185e-06
